"album","Index","artist","Index","genre","type"
"Sailing To Philadelphia",488,"Mark Knopfler",223,"Rock","Load"
"Golden Heart",228,"Mark Knopfler",223,"Rock","Load"
"This Is Us",681,"Mark Knopfler & Emmylou Harris",224,"Rock","Load"
"Midnight on the Water",378,"Mark O'Connor",225,"Jazz","CD"
"Retrospective",462,"Mark O'Connor",225,"Jazz","CD"
"Heroes",258,"Mark O'Connor",225,"Jazz","CD"
"Liberty",327,"Mark O'Connor",225,"Jazz","CD"
"The New Nashville Cats",635,"Mark O'Connor",225,"Jazz","CD"
"Marty Robbins' All-Time Greatest Hits",369,"Marty Robbins",226,"Country","Vinyl"
"The Essential Marty Robbins (1951-1982)",612,"Marty Robbins",226,"Country","Load"
"Marty Robbins_ More Greatest Hits",368,"Marty Robbins",226,"Country","Load"
"Marty Robbins' All-Time Greatest Hits",369,"Marty Robbins",226,"Country","Load"
"Gunfighter Ballads and Trail Songs",241,"Marty Robbins",226,"Country","Load"
"Marvin Gaye's Greatest Hits",371,"Marvin Gaye",227,"Soul","Load"
"Marvin Gaye_ Gold",370,"Marvin Gaye",227,"Soul","Load"
"Music - 1968-1971",394,"Mason Williams",228,"Rock","Load"
"Faster - Single",200,"Matt Nathanson",229,"Pop","Load"
"You Are Not Alone - Single",747,"Mavis Staples",230,"Pop","Load"
"Driving Music",170,"Men At Work",231,"Rock","Tape"
"City Scape",126,"Michael Brecker",232,"Jazz","Vinyl"
"CityScape",128,"Michael Brecker",232,"Jazz","Vinyl"
"Michael Brecker",376,"Michael Brecker",232,"Jazz","Vinyl"
"Cowboy Songs 3",147,"Michael Martin Murphey",233,"Country","CD"
"Cityscape",128,"Micheal Brecker",234,"Jazz","Vinyl"
"Mambo Bounce",366,"Miles Band Davis_Sonny Rollins",235,"Jazz","CD"
"Bitches Brew Disc 2",85,"Miles Davis",236,"Jazz","CD"
"Workin' With The Miles Davis Quintet",739,"Miles Davis",236,"Jazz","Vinyl"
"Kind Of Blue",313,"Miles Davis",236,"Jazz","CD"
"Filles De Kilimanjaro",203,"Miles Davis",236,"Jazz","Vinyl"
"Milestones",379,"Miles Davis",236,"Jazz","Vinyl"
"Birth of the Cool",83,"Miles Davis",236,"Jazz","Vinyl"
"Birth of the Cool",83,"Miles Davis",236,"Jazz","CD"
"Classic Ballads",130,"Miles Davis",236,"Jazz","CD"
"Bitches Brew Disc 1",84,"Miles Davis",236,"Jazz","CD"
"Workin' With The Miles Davis Quintet",739,"Miles Davis Quintet",237,"Jazz","Vinyl"
"Mambo Bounce",366,"Miles Davis Sextet_Sonny Rollins",238,"Jazz","CD"
"Mambo Bounce",366,"Miles Davis_Sonny Rollins",239,"Jazz","CD"
"The Best of Mitch Ryder & the Detroit Wheels",579,"Mitch Ryder & The Detroit Wheels",240,"Rock","Load"
"Monsters Of Folk",385,"Monsters Of Folk",241,"Blue Grass","CD"
"In Search Of the Lost Chord",278,"Moody Blues",242,"Rock","Vinyl"
"To Our Children's Children's Children",688,"Moody Blues",242,"Rock","Vinyl"
"Days Of Future Passed",156,"Moody Blues",242,"Rock","Vinyl"
"Road That Never Ends_ The Live Album",469,"Mountain Heart",243,"Blue Grass","CD"
"Authorized Bootleg - Fillmore Auditorium San Francisco Nov. 4-6 1966",56,"Muddy Waters",244,"Blues","CD"
"Hard Again",246,"Muddy Waters",244,"Blues","CD"
"The Very Best of Mungo Jerry",664,"Mungo Jerry",245,"Rock","Load"
"Love Is The Answer",357,"Nashville Teens",246,"Rock","Load"
"The Christmas Song",601,"Nat _King_ Cole",247,"Holiday","Load"
"Love Songs_ Neil Sedaka",359,"Neil Sedaka",248,"Rock","Load"
"Furnace Room Lullaby",218,"Neko Case",249,"Rock","CD"
"Blacklisted",90,"Neko Case",249,"Rock","CD"
"Middle Cyclone",377,"Neko Case",249,"Rock","CD"
"Boston Music Hall - December 5 1972",101,"New Riders of the Purple Sage",250,"Rock","Load"
"The Best of New Riders of the Purple Sage",580,"New Riders of the Purple Sage",250,"Rock","Load"
"New Riders of the Purple Sage",401,"New Riders of the Purple Sage",250,"Rock","Load"
"The Adventures of Panama Red",562,"New Riders of the Purple Sage",250,"Rock","Load"
"Everything Is",194,"Nine Black Alps",251,"Pop","Load"
"Incesticide",285,"Nirvana",252,"Rock","CD"
"Dirt Siver Gold",161,"Nitty Gritty Dirt Band",253,"Country","Vinyl"
"On State Sponsored Terrorism",417,"Noam Chomsky",254,"Book","Load"
"Come Away With Me",138,"Norah Jones",255,"Pop","CD"
"51 Phantom",17,"North Mississippi Allstars",256,"Rock","CD"
"Shake Hands With Shorty",497,"North Mississippi Allstars",256,"Rock","CD"
"Shamrock Melodies",500,"Oliver Kane",257,"Classic","Load"
"Olivia Newton-John",416,"Olivia Newton-John",258,"Country","Vinyl"
"Night Train",404,"Oscar Peterson",259,"Jazz","CD"
"Surrender 2 Love_ The Best of Ottmar Liebert Vol. 2",548,"Ottmar Liebert",260,"Pop","CD"
"Leaning into the Night",320,"Ottmar Liebert",260,"Pop","CD"
"Solo Para Ti",517,"Ottmar Liebert",260,"Pop","CD"
"Euphoria",190,"Ottmar Liebert_Luna Negra",261,"Pop","CD"
"Hives Of Honeyed Sound (Blas Na Meala)",261,"Padraig MacMathuna",262,"Classic","Load"
"Constant Future",143,"Parts & Labor",263,"Pop","Load"
"80_81",21,"Pat Metheny",264,"Jazz","Vinyl"
"One Quiet Night",421,"Pat Metheny",264,"Jazz","CD"
"American Garage",44,"Pat Metheny Group",265,"Jazz","Vinyl"
"Trio Live Disc 1",697,"Pat Metheny Trio",266,"Jazz","CD"
"Trio Live Disc 2",698,"Pat Metheny Trio",266,"Jazz","CD"
"Patsy Cline's Greatest Hits (Remastered)",426,"Patsy Cline",267,"Country","Load"
"Twelve",702,"Patti Smith",268,"Rock","CD"
"Easter",177,"Patti Smith",268,"Rock","CD"
"Radio Ethiopia",444,"Patti Smith",268,"Rock","Vinyl"
"Easter",177,"Patti Smith",268,"Rock","Load"
"Gung Ho",242,"Patti Smith",268,"Rock","CD"
"Gone Again",230,"Patti Smith",268,"Rock","CD"
"Trampin'",693,"Patti Smith",268,"Rock","Load"
"Band on the Run",62,"Paul McCartney & Wings",269,"Rock","CD"
"The Afterlife - Single",563,"Paul Simon",271,"Pop","Load"
"Pete Seeger & Arlo Guthrie - Together In Concert",431,"Pete Seeger & Arlo Guthrie",272,"Folk","Load"
"Pete Seeger & Arlo Guthrie - Together In Concert",431,"Pete Seeger & Arlo Guthrie",272,"Folk","vinyl"
"Rough Mix",480,"Pete Townshend & Ronnie Lane",273,"Rock","Vinyl"
"Eyes - Single",197,"Peter Bjorn and John",274,"Pop","Load"
"See What Tomorrow Brings",492,"Peter Paul & Mary",275,"Folk","Vinyl"
"See What Tomorrow Brings 2",493,"Peter Paul & Mary",275,"Folk","Vinyl"
"The Very Best of Peter Paul and Mary",665,"Peter Paul & Mary",275,"Folk","Load"
"Saint-Saens_ Danse Macabre",489,"Philharmonia Orchestra",276,"Classic","Load"
"By Some Miracle - Single",113,"Philip Selway",277,"Pop","Load"
"Dark Side of the Moon",155,"Pink Floyd",278,"Rock","Load"
"The Wall [Disc 1]",672,"Pink Floyd",278,"Rock","CD"
"The Wall [Disc 2]",673,"Pink Floyd",278,"Rock","CD"
"Redemption Song - Single",456,"Playing for Change",279,"Pop","Load"
"Fire On The Hill",206,"Polecat",280,"Rock","CD"
"Just an Old Dog",308,"Prairie Flyer",281,"Country","CD"
"Purple Rain",442,"Prince",282,"Rock","Tape"
"Live At the Union Chapel",337,"Procol Harum",283,"Rock","Load"
"Queen_ Greatest Hits",443,"Queen",284,"Rock","Load"
"Classic Queen",132,"Queen",284,"Rock","Load"
"In Time - The Best of R.E.M. 1988-2003",282,"R.E.M_",285,"Rock","Load"
"Oh My Heart - Single",415,"R.E.M_",285,"Rock","Load"
"Mississippi Hill Country Blues",381,"R.L. Burnside",286,"Blues","CD"
"Ravel_ Bolero",449,"Ravel",287,"Classic","Vinyl"
"Redbird",455,"Redbird",288,"Folk","CD"
"Wagner Through the Ages",719,"Richard Wagner",289,"Classic","Load"
"Live At the Cellar Door and At the Santa Monica Civic Auditorium",335,"Richie Havens",290,"Folk","Load"
"Grace of the Sun",232,"Richie Havens",290,"Folk","Load"
"Nobody Left to Crown",409,"Richie Havens",290,"Folk","Load"
"Steelers Wheel - Stuck in the Middle (Ricketic Edit) - Single",531,"Ricketic",291,"Pop","Load"
"Photograph_ The Digital Greatest Hits",433,"Ringo Starr",292,"Rock","Load"
"Delta Lady _ The Anthology",157,"Rita Coolidge",293,"Country","CD"
"La Bamba",317,"Ritchie Valens",294,"Rock","Load"
"50's Rock",16,"Ritchie Valens",294,"Rock","Load"
"Angel Dance - Single",47,"Robert Plant",295,"Rock","Load"
"Raising Sand",447,"Robert Plant & Alison Krauss",296,"Rock","Load"
"Killing Me Softly",312,"Roberta Flack",297,"Soul","Vinyl"
"Roberta Flack & Donny Hathaway",470,"Roberta Flack & Donny Hathaway",298,"Soul","Vinyl"
"Driving Music",170,"Rod Stewart",299,"Rock","Tape"
"Cold Fact (Bonus Track Version)",134,"Rodriguez",300,"Rock","Load"
"Coming from Reality (Bonus Track Version)",140,"Rodriguez",300,"Rock","Load"
"For the Lonely_ 18 Greatest Hits",212,"Roy Orbison",301,"Rock","CD"
"All We Grow (Bonus Track Version)",39,"S. Carey",302,"Pop","Load"
"All That I Am",37,"Santana",304,"Rock","CD"
"Supernatural",546,"Santana",304,"Rock","CD"
"Corazon (Deluxe Version)",145,"Santana",304,"Rock","Load"
"Abraxas",30,"Santana",304,"Rock","Vinyl"
"50's Rock",16,"Santo And Johnny",305,"Rock","Tape"
"Follow Me Down",210,"Sarah Jarosz",306,"Pop","CD"
"Song Up In Her Head",520,"Sarah Jarosz",306,"Pop","Load"
"Wintersong",737,"Sarah McLachlan",307,"Holiday","CD"
"A Step Further",27,"Savoy Brown",308,"Blues","Load"
"Hellbound Train",254,"Savoy Brown",308,"Blues","Load"
"Looking In",351,"Savoy Brown",308,"Blues","Load"
"Um Uh Oh (Bonus Track Version)",706,"Say Hi",309,"Pop","Load"
"Masked And Anonymous",372,"Sertab",310,"Rock","Load"
"Masked And Anonymous",372,"Shirley Caesar",311,"Rock","Load"
"Greatest Hits",234,"Simon & Garfunkel",312,"Rock","Load"
"Bridge Over Troubled Water",107,"Simon & Garfunkel",312,"Rock","Vinyl"
"The Immediate Years (Disc Two)",623,"Small Faces",313,"Pop","Load"
"Global Warming",224,"Sonny Rollins",314,"Jazz","Load"
"This Is What I Do",682,"Sonny Rollins",314,"Jazz","Load"
"Mambo Bounce",366,"Sonny Rollins",314,"Jazz","CD"
"Mambo Bounce",366,"Sonny Rollins",314,"Jazz","Load"
"Easy Living",178,"Sonny Rollins",314,"Jazz","Vinyl"
"Masked And Anonymous",372,"Sophie Zelmani",315,"Rock","Load"
"Blue Note Stanley Turrentine Quintet_Sextet Studio Sessions",95,"Stanley Turrentine",316,"Jazz","Load"
"Stuck In The Middle With You (Re-Recorded _ Remastered)",538,"Stealers Wheel",317,"Rock","Load"
"A Decade of Steely Dan (Remastered)",22,"Steely Dan",318,"Rock","Load"
"Everything Must Go",195,"Steely Dan",318,"Rock","Load"
"Best of Steppenwolf_ 20th Century Masters",75,"Steppenwolf",319,"Rock","CD"
"Jessies Jig-Words We Can Dance To",296,"Steve Goodman",320,"Rock","Load"
"Steve Goodman",533,"Steve Goodman",320,"Rock","Load"
"Greatest Hits_ 1974-1978",238,"Steve Miller Band",321,"Rock","Load"
"Martin Scorsese Presents_ Stevie Ray Vaughan",367,"Stevie Ray Vaughan",322,"Blues","Load"
"The Real Deal_ Greatest Hits Vol. 1",640,"Stevie Ray Vaughan & Double Trouble",323,"Blues","Load"
"Stevie Ray Vaughan & Double Trouble_ Live At Carnegie Hall",534,"Stevie Ray Vaughan & Double Trouble",323,"Blues","Load"
"Texas Flood",561,"Stevie Ray Vaughan & Double Trouble",323,"Blues","Load"
"Incense & Peppermints",284,"Strawberry Alarm Clock",324,"Rock","Load"
"The Stray Birds",650,"Stray Birds",325,"Rock","Load"
"Built For Speed",111,"Stray Cats",326,"Rock","Load"
"Come Sail Away - The Styx Anthology",139,"Styx",327,"Rock","Load"
"Electric Warrior (Remastered)",183,"T. Rex",328,"Rock","Load"
"True Stories",699,"Talking Heads",329,"Rock","Load"
"12 Desperate Straight Lines",1,"Telekinesis",330,"Pop","Load"
"Recorded Live",452,"Ten Years After",331,"Rock","Load"
"Undead (Remastered) [Live]",707,"Ten Years After",331,"Rock","Load"
"A Space In Time",26,"Ten Years After",331,"Rock","Load"
"Live from Austin TX_ Texas Tornados",338,"Texas Tornados",332,"Tex Mex","Load"
"Zone of Our Own",751,"Texas Tornados",332,"Tex Mex","Load"
"Half Of Something Else - Single",245,"The Airborne Toxic Event",334,"Pop","Load"
"Eat A Peach",180,"The Allman Brothers Band",335,"Rock","Load"
"Fillmore East",204,"The Allman Brothers Band",335,"Rock","Load"
"Brothers And Sisters",109,"The Allman Brothers Band",335,"Rock","Load"
"Beginnings",69,"The Allman Brothers Band",335,"Rock","Load"
"Greatest Hits [Remastered] [UK]",236,"The Band",338,"Rock","Load"
"The Last Waltz [2003 Remaster] Disc 1",624,"The Band",338,"Rock","Load"
"The Last Waltz [2003 Remaster] Disc 2",625,"The Band",338,"Rock","Load"
"The Beach Boys 20 Golden Greats",565,"The Beach Boys",339,"Rock","Load"
"Something New",518,"The Beatles",340,"Rock","Vinyl"
"Magical Mystery Tour",363,"The Beatles",340,"Rock","Vinyl"
"Beatles 62-66",63,"The Beatles",340,"Rock","Vinyl"
"Meet The Beatles",374,"The Beatles",340,"Rock","Vinyl"
"Beatles Again(Hey Jude)",64,"The Beatles",340,"Rock","Vinyl"
"The Beatles Songs Pictures And Stories Of The Fabulous",567,"The Beatles",340,"Rock","Vinyl"
"Help",255,"The Beatles",340,"Rock","Vinyl"
"Beatles For Sale",65,"The Beatles",340,"Rock","Load"
"Beatles IV",66,"The Beatles",340,"Rock","Vinyl"
"Let It Be",324,"The Beatles",340,"Rock","Load"
"Rubber Soul",481,"The Beatles",340,"Rock","Vinyl"
"Abbey Road",29,"The Beatles",340,"Rock","CD"
"Beatles' Second Album",67,"The Beatles",340,"Rock","Vinyl"
"Rubber Soul (North American)",482,"The Beatles",340,"Rock","Vinyl"
"Yesterday and Today",746,"The Beatles",340,"Rock","Vinyl"
"Beatles'65",68,"The Beatles",340,"Rock","Vinyl"
"Sgt Peppers Lonely Hearts Club Band",496,"The Beatles",340,"Rock","Vinyl"
"Hard Days Night",247,"The Beatles",340,"Rock","Vinyl"
"White Album",734,"The Beatles",340,"Rock","Vinyl"
"Where Not to Look for Freedom - Single",733,"The Belle Brigade",342,"Pop","Load"
"The Letter _ Neon Rainbow",626,"The Box Tops",343,"Rock","Load"
"Tear Off!",558,"The Box Tops",343,"Rock","Load"
"The Letter _ Neon Rainbow",626,"The Box Tops",344,"Rock","Load"
"Tear Off!",558,"The Box Tops",344,"Rock","Load"
"Super Hits",545,"The Byrds",346,"Rock","CD"
"Nightrider",405,"The Charlie Daniels Band",348,"Rock","Load"
"The Essential Charlie Daniels Band",610,"The Charlie Daniels Band",348,"Rock","Load"
"Charlie Daniels Band A Decade Of Hits",121,"The Charlie Daniels Band",348,"Rock","Load"
"The Chi-Lites_ 20 Greatest Hits",600,"The Chi-Lites",349,"Rock","Load"
"Down The Old Plank Road_ The Nashville Sessions",167,"The Chieftains",350,"Rock","Load"
"The Bells Of Dublin",568,"The Chieftains",350,"Rock","Load"
"The Boys Are Back",591,"The Coats",352,"Rock","Load"
"The Coats Collection",602,"The Coats",352,"Rock","Load"
"The Dave Clark Five_ The Hits (Bonus Track Version)",604,"The Dave Clark Five",353,"Rock","Load"
"The Doors",608,"The Doors",354,"Rock","Load"
"Best of the Doors",77,"The Doors",354,"Rock","Load"
"The Very Best of the Doors",667,"The Doors",354,"Rock","Load"
"The Future Starts Here_ The Essential Doors Hits",616,"The Doors",354,"Rock","Load"
"Under the Boardwalk",708,"The Drifters",355,"Rock","Load"
"Long Road Out Of Eden [Disc 1]",348,"The Eagles",356,"Rock","Load"
"One of These Nights",420,"The Eagles",356,"Rock","Load"
"Long Road Out Of Eden [Disc 2]",349,"The Eagles",356,"Rock","Load"
"Hell Freezes Over",253,"The Eagles",356,"Rock","Load"
"Hotel California",265,"The Eagles",356,"Rock","Load"
"Eagles",174,"The Eagles",356,"Rock","Load"
"I Had Too Much to Dream",268,"The Electric Prunes",357,"Rock","Load"
"Cadence Classics_ Their 20 Greatest Hits",114,"The Everly Brothers",358,"Rock","Load"
"Masked And Anonymous",372,"The Grateful Dead",361,"Rock","Load"
"Two from the Vault Disc 1",703,"The Grateful Dead",361,"Rock","Load"
"Two from the Vault Disc 2",704,"The Grateful Dead",361,"Rock","Load"
"American Beauty",43,"The Grateful Dead",361,"Rock","Load"
"What A Long Strange Trip",727,"The Grateful Dead",361,"Rock","Load"
"The Grateful Dead (Skull & Roses)",619,"The Grateful Dead",361,"Rock","Load"
"Shakin' All Over",499,"The Guess Who",362,"Rock","Load"
"Rockin Guess Who",476,"The Guess Who",362,"Rock","Load"
"American Woman",46,"The Guess Who",362,"Rock","Load"
"Scattered",491,"The Handsome Family",363,"Rock","Load"
"Singing Bones",507,"The Handsome Family",363,"Rock","Load"
"The Hollies' Greatest Hits",622,"The Hollies",364,"Rock","Load"
"The Best of the Jazz Crusaders",582,"The Jazz Crusaders",365,"Rock","Load"
"The Best Of The Jazz Crusaders 1961 - 1965",583,"The Jazz Crusaders",365,"Rock","Load"
"Free As The Wind",216,"The Jazz Crusaders",365,"Rock","Load"
"Live at the Lighthouse '66",336,"The Jazz Crusaders",365,"Jazz","Load"
"Crusaders 1",153,"The Jazz Crusaders",365,"Rock","Load"
"The Best of the Jazz Crusaders",582,"The Jazz Crusaders",365,"Jazz","Load"
"The Best Of The Jazz Crusaders 1961 - 1965",583,"The Jazz Crusaders",365,"Jazz","Load"
"Southern Comfort",527,"The Jazz Crusaders",365,"Rock","Load"
"The Best of the Kingsmen",584,"The Kingsmen",366,"Rock","Load"
"Absolutely The Best",31,"The Kingston Trio",367,"Rock","Load"
"Kinks",314,"The Kinks",368,"Rock","Load"
"Kinks-Size",315,"The Kinks",368,"Rock","Load"
"Lola Versus Powerman And The Moneygoround Part One",345,"The Kinks",368,"Rock","Load"
"My Sharona _ Good Girls Don't (Re-Recorded) - Single",397,"The Knack",369,"Rock","Load"
"There's Gonna Be a Storm - The Complete Recordings 1966-1969",679,"The Left Banke",370,"Rock","Load"
"Greatest Hits",234,"The Mamas & The Papas",371,"Rock","Load"
"Running With The Wind",487,"The Marshall Tucker Band",373,"Rock","Load"
"The Marshall Tucker Band_ Live On Long Island - 4-18-80",630,"The Marshall Tucker Band",373,"Rock","Load"
"Long Hard Ride",346,"The Marshall Tucker Band",373,"Rock","Load"
"Rancho Loco",448,"The Mavericks",374,"Tex Mex","Load"
"Live at Admiral",330,"The Overton Berry Trio",376,"Jazz","Load"
"Butterfield Blues Band Live",112,"The Paul Butterfield Blues Band",377,"Rock","Load"
"The Paul Butterfield Blues Band",636,"The Paul Butterfield Blues Band",377,"Rock","Load"
"East-West",176,"The Paul Butterfield Blues Band",377,"Blues","Load"
"The Butterfield Blues Band Live",597,"The Paul Butterfield Blues Band",377,"Rock","Load"
"Breakout",105,"The Pointer Sisters",378,"Rock","Load"
"The Police (Remastered)",637,"The Police",379,"Rock","Load"
"V.S.O.P",715,"The Quintet",380,"Rock","Load"
"Time Peace_ The Rascals' Greatest Hits",685,"The Rascals",381,"Rock","Load"
"Essentials_ The Rascals",189,"The Rascals",381,"Rock","Load"
"The Young Rascals",677,"The Rascals & The Young Rascals",382,"Rock","Load"
"Anthology 1962-1974 [Disc 2]",48,"The Righteous Brothers",383,"Rock","Load"
"Anthology_ 1962-1974 [Disc 1]",49,"The Righteous Brothers",383,"Rock","Load"
"Singles Collection_ The London Years [Disc 1]",508,"The Rolling Stones",384,"Rock","Load"
"Singles Collection_ The London Years [Disc 2]",509,"The Rolling Stones",384,"Rock","Load"
"Singles Collection_ The London Years [Disc 3]",510,"The Rolling Stones",384,"Rock","Load"
"The Very Best of... The Searchers",671,"The Searchers",385,"Rock","Load"
"The Seeds",646,"The Seeds",386,"Rock","Load"
"The Great Sir Douglas Quintet Live",620,"The Sir Douglas Quintet",387,"Rock","Load"
"The Best of the Spencer Davis Group",585,"The Spencer Davis Group",388,"Rock","Load"
"Desolation Boulevard",160,"The Sweet",389,"Rock","Load"
"The Lion Sleeps Tonight",627,"The Tokens",390,"Rock","Load"
"Tom Petty & the Heartbreakers (1976)",690,"The Tom Petty_Heartbreakers",391,"Rock","Load"
"The Traveling Wilburys Vol. 1",654,"The Traveling Wilburys",392,"Rock","Load"
"Here Comes My Baby _ Silence Is Golden (Re-Recorded Versions) - Single",257,"The Tremeloes",393,"Rock","Load"
"Wild Thing",735,"The Troggs",394,"Rock","Load"
"Save The Turtles_  The Turtles Greatest Hits",490,"The Turtles",395,"Rock","Load"
"Walk Don't Run_ The Best of the Ventures",721,"The Ventures",396,"Rock","Load"
"40 Days",15,"The Wailin' Jennys",397,"Country","Load"
"Firecracker",207,"The Wailin' Jennys",397,"Country","Load"
"Hits",260,"The Who",398,"Rock","Load"
"Tommy",691,"The Who",398,"Rock","Load"
"The Ultimate Collection",655,"The Yardbirds",399,"Rock","Load"
"Groovin'",239,"The Young Rascals",400,"Rock","Load"
"Get Together_ The Essential Youngbloods",221,"The Youngbloods",401,"Rock","Load"
"Odessey and Oracle",413,"The Zombies",402,"Rock","Load"
"Criss Cross",151,"Thelonious Monk",403,"Rock","Load"
"At Carnegie Hall",54,"Thelonious Monk Quartet With John Coltrane",404,"Rock","Load"
"Best Of Three Dog Night",79,"Three Dog Night",405,"Rock","Load"
"Songs from the Mountain",521,"Tim O'Brien",406,"Rock","Load"
"Cornbread Nation",146,"Tim O'Brien",406,"Blue Grass","Load"
"Private Dancer",440,"Tina Turner",407,"Rock","Load"
"Tom Jones_ Gold (1965-1975)",689,"Tom Jones",408,"Pop","Load"
"Southern Accents",526,"Tom Petty & The Heartbreakers",409,"Rock","Load"
"Snowfall - The Tony Bennett Christmas Album",514,"Tony Bennett",410,"Holiday","Load"
"Swing Now_ East Coast",551,"Tony Burgos & His Swing Shift Orchestra",411,"Jazz","Load"
"The Essential Toto",613,"Toto",412,"Rock","Load"
"Monster on a Leash",384,"Tower of Power",413,"Rock","CD"
"Back to Oakland",59,"Tower of Power",413,"Rock","CD"
"The Very Best of Tower of Power_ The Warner Years",668,"Tower of Power",413,"Rock","CD"
"When The Eagle Flies",732,"Traffic",414,"Rock","Load"
"Songs of Innocence",522,"U2",415,"Rock","Load"
"U218 Singles (Deluxe Version)",705,"U2",415,"Rock","Load"
"She Waits for Night",501,"Uncle Earl",416,"Rock","Load"
"Waterloo Tennessee",722,"Uncle Earl",416,"Rock","Load"
"She Waits for Night",501,"Uncle Earl",416,"Blue Grass","Load"
"Union Gap",710,"Union Gap",417,"Rock","Load"
"Space Odessy Sound Track",528,"Unknown Artist",418,"Rock","Load"
"IBMA Blue Grass Sample",273,"Unknown Artist",418,"Blue Grass","Load"
"Blowin' Your Mind!",94,"Van Morrison",419,"Rock","Load"
"Pay the Devil",427,"Van Morrison",419,"Rock","Load"
"Moondance",387,"Van Morrison",419,"Rock","Load"
"Van Morrison - The Movie Hits",716,"Van Morrison",419,"Rock","Load"
"The Best of Van Morrison Vol. 3",586,"Van Morrison",419,"Rock","Load"
"The Movie Hits",632,"Van Morrison",419,"Rock","Load"
"Songs from the Mountain",521,"Various Artists",420,"Rock","Load"
"Gypsy Soul_ New Flamenco",243,"Various Artists",420,"Rock","Load"
"A Wagner Concert",28,"Wagner",421,"Rock","Load"
"Bernstein Conducts Wagner",70,"Wagner",421,"Rock","Load"
"Walela",720,"Walela",422,"Rock","Load"
"Siren",511,"Walt Weiskopf Nonet",423,"Rock","Load"
"Platinum Jazz",437,"War",424,"Rock","Load"
"The Very Best of War",669,"War",424,"Rock","Load"
"Best of War",80,"War",424,"Rock","Load"
"Waylon and Willie",724,"Waylon and Willie",425,"Rock","Load"
"Honky Tonk Heroes",262,"Waylon Jennings",426,"Rock","Load"
"What Goes Around Comes Around",728,"Waylon Jennings",426,"Rock","Load"
"The Essential Waylon Jennings",614,"Waylon Jennings",426,"Country","Load"
"Right For The Time",466,"Waylon Jennings",426,"Rock","Load"
"Love Of The Common People",358,"Waylon Jennings",426,"Rock","Load"
"Early Years",175,"Waylon Jennings & The Waylors",427,"Country","Load"
"Waylon & Willie (Remastered)",723,"Waylon Jennings & Willie Nelson",428,"Country","Load"
"Chapel Song - Single",119,"We Are Augustines",430,"Pop","Load"
"Sweetnighter",550,"Weather Report",431,"Jazz","Load"
"Night Passage",403,"Weather Report",431,"Rock","Load"
"Mr. Gone",392,"Weather Report",431,"Jazz","Load"
"Tale Spinnin'",555,"Weather Report",431,"Jazz","Load"
"Heavy Weather",252,"Weather Report",431,"Rock","Load"
"8_30 (Live)",20,"Weather Report",431,"Jazz","Load"
"Black Market",88,"Weather Report",431,"Rock","Load"
"The Best Of White Lion",587,"White Lion",432,"Rock","Load"
"50's Rock",16,"Wilbert Harrison",433,"Rock","Load"
"Willie Nelson and Leon Russel",736,"Willie Nelson and Leon Russel",434,"Rock","Load"
"Sideways - Single",502,"Wrabel",435,"Pop","Load"
"We Were Wealth",725,"Wye Oak",436,"Pop","Load"
"Wynton Marsalis & Eric Clapton Play the Blues (Live from Jazz At Lincoln Center)",745,"Wynton Marsalis & Eric Clapton",437,"Rock","Load"
"The Very Best of Yes",670,"Yes",438,"Rock","Load"
"Songs of Joy & Peace",523,"Yo-Yo Ma",439,"Rock","Load"
"Songs of Joy & Peace",523,"Yo-Yo Ma",439,"Pop","Load"
"Keep Me In Mind - Single",310,"Zac Brown Band",440,"Country","Load"
"Greatest Hits So Far.._",237,"Zac Brown Band",440,"Country","Load"
"JEKYLL + HYDE",294,"Zac Brown Band",440,"Country","Load"
"Eliminator",184,"ZZ Top",441,"Rock","Load"
"Cameo Parkway_ The Best of _ & the Mysterians 1966-1967",115,"_ & The Mysterians",1,"Rock","Load"
